domain,company,employees,industry,region
northpeak.io,NorthPeak,850,SaaS,Canada
ledgerline.com,LedgerLine,1200,Fintech,US East
carepath.health,CarePath,3400,Healthcare,US West
haulwise.com,HaulWise,420,Logistics,Canada
brightbrew.co,BrightBrew,45,Food & Beverage,US West
atlasbank.com,Atlas Bank,25000,Fintech,US East
medisync.eu,MediSync,600,Healthcare,EMEA
shipstream.co.uk,ShipStream,2100,Logistics,EMEA
pixelforge.dev,PixelForge,120,SaaS,US West
greenacre.farm,GreenAcre,300,Agriculture,Canada
quantumleaf.ai,QuantumLeaf,260,SaaS,US East
fleetops.com,FleetOps,4800,Logistics,US West
paylane.io,PayLane,90,Fintech,Canada
clinicly.com,Clinicly,1500,Healthcare,Canada
stylehaus.com,StyleHaus,700,Retail,EMEA
dataharbor.io,DataHarbor,980,SaaS,EMEA
rivalflow.io,RivalFlow,300,SaaS,US East
pipelinepro.com,PipelinePro,150,SaaS,US West
tidelogix.com,TideLogix,2600,Logistics,US East
vitalcore.ca,VitalCore,230,Healthcare,Canada
