claim_id,employee_id,submitted_at,purpose
CL-2001,E-101,2026-08-12,Team offsite in Toronto
CL-2002,E-102,2026-08-21,Client visit in Montreal
CL-2003,E-103,2026-08-14,Team offsite in Vancouver
CL-2004,E-104,2026-08-21,Client visit in Toronto
CL-2005,E-105,2026-08-24,Team offsite in Montreal
CL-2006,E-106,2026-08-29,Client visit in New York
CL-2007,E-107,2026-08-19,Team offsite in Toronto
CL-2008,E-108,2026-08-21,Client visit in London
CL-2009,E-109,2026-08-24,Team offsite in Montreal
CL-2010,E-110,2026-09-05,Client visit in Montreal
CL-2011,E-111,2026-08-27,Team offsite in London
CL-2012,E-112,2026-09-02,Client visit in Montreal
CL-2013,E-101,2026-09-16,Team offsite in Toronto
CL-2014,E-102,2026-09-01,Client visit in London
CL-2015,E-103,2026-09-15,Team offsite in London
CL-2016,E-104,2026-08-07,Client visit in Toronto
CL-2017,E-105,2026-08-23,Team offsite in London
CL-2018,E-106,2026-08-27,Client visit in Vancouver
CL-2019,E-107,2026-08-13,Team offsite in Toronto
CL-2020,E-108,2026-08-22,Client visit in New York
CL-2021,E-109,2026-08-25,Team offsite in New York
CL-2022,E-110,2026-08-27,Client visit in Montreal
CL-2023,E-111,2026-08-30,Team offsite in Toronto
CL-2024,E-112,2026-08-23,Client visit in Toronto
CL-2025,E-101,2026-08-27,Team offsite in Toronto
CL-2026,E-102,2026-08-29,Client visit in New York
CL-2027,E-103,2026-09-01,Team offsite in New York
CL-2028,E-104,2026-09-13,Client visit in Toronto
CL-2029,E-105,2026-09-03,Team offsite in Montreal
CL-2030,E-106,2026-09-17,Client visit in Vancouver
CL-2031,E-107,2026-08-12,Team offsite in Toronto
CL-2032,E-108,2026-08-17,Client visit in Toronto
CL-2033,E-109,2026-08-20,Team offsite in Vancouver
CL-2034,E-110,2026-08-23,Client visit in Montreal
CL-2035,E-111,2026-08-14,Team offsite in Vancouver
CL-2036,E-112,2026-08-28,Client visit in New York
CL-2037,E-101,2026-08-24,Team offsite in Toronto
CL-2038,E-102,2026-08-31,Client visit in Toronto
CL-2039,E-103,2026-08-31,Team offsite in New York
CL-2040,E-104,2026-09-10,Client visit in Toronto
